time;t;f;w
852;24;0,0033653037186606094;109502
902;22,3;0,0033846674564224064;109577
912;22,1;0,003386960203217612;109491
922;22,4;0,0033835222466587723;109434
932;22,6;0,0033812341504649195;109374
942;23;0,0033766672294445383;109419
952;23,3;0,0033732501264968798;109493
1002;23,6;0,003369839932603201;109560
1012;24;0,0033653037186606094;109655
1022;24,3;0,0033619095646327114;109545
1032;24,6;0,0033585222502099076;109564
1042;25;0,0033540164346805303;109640
1102;25,6;0,0033472803347280333;109848
1112;26;0,003342804613070366;109809
1122;26,5;0,003337226764558652;109837
1132;26,9;0,003332777870354941;109924
1142;27,2;0,00332944897619444;109986
1152;27,5;0,003326126725428239;110079
1202;27,7;0,003323915572544458;110084
1212;28;0,003320604349991699;110047
1222;28,1;0,0033195020746887966;110175
1232;28,4;0,0033161996352180406;110138
1242;28,6;0,0033140016570008283;110169
1252;28,8;0,003311806590495115;110109
1302;29;0,0033096144299189145;110029
1312;29,2;0,0033074251695055404;109851
1322;29,4;0,0033052388035035535;109917
1332;29,6;0,0033030553261767133;109819
1342;29,8;0,0033008747318039283;109675
1352;30,3;0,0032954358213873785;109526
1402;30,5;0,0032932652725177016;109461
1412;30,7;0,0032910975810432784;109450

