n;date;relative_humidity_1;barometric_pressure_1;temperature_1;analog_output_12
1;2020-10-01T20:29:44.053Z;82;998,4;11,5;26,29
2;2020-10-01T20:39:43.803Z;82;998,4;11,4;26,32
3;2020-10-01T20:49:43.803Z;81,5;998,4;11,2;26,35
4;2020-10-01T20:59:43.793Z;82;998,5;11,1;26,36
5;2020-10-01T21:09:43.779Z;82;998,4;11,1;26,38
6;2020-10-01T21:19:43.769Z;82;998,5;11,1;26,39
7;2020-10-01T21:29:43.765Z;82;998,5;11,1;26,41
8;2020-10-01T21:39:43.763Z;82;998,6;11;26,41
9;2020-10-01T21:49:43.735Z;82;998,5;10,9;26,42
10;2020-10-01T21:59:43.748Z;82;998,4;10,9;26,43
11;2020-10-01T22:09:43.716Z;82;998,2;10,8;26,44
12;2020-10-01T22:19:43.704Z;82;998,1;10,8;26,45
13;2020-10-01T22:29:43.697Z;82;998;10,7;26,45
14;2020-10-01T22:39:43.689Z;82;998;10,6;26,46
15;2020-10-01T22:49:43.677Z;82;998;10,5;26,47
16;2020-10-01T22:59:43.663Z;82;997,9;10,4;26,48
17;2020-10-01T23:09:43.655Z;82;997,8;10,4;26,49
18;2020-10-01T23:19:43.647Z;82;997,7;10,2;26,49
19;2020-10-01T23:29:43.657Z;82;997,7;10,1;26,49
20;2020-10-01T23:39:43.630Z;82;997,7;10;26,5
21;2020-10-01T23:49:43.625Z;82;997,7;9,9;26,51
22;2020-10-01T23:59:43.617Z;82;997,7;9,7;26,52
23;2020-10-02T00:09:43.603Z;82;997,7;9,6;26,52
24;2020-10-02T00:19:43.591Z;82;997,7;9,5;26,53
25;2020-10-02T00:29:43.605Z;82;997,6;9,5;26,53
26;2020-10-02T00:39:43.622Z;82;997,5;9,4;26,54
27;2020-10-02T00:49:43.597Z;82;997,5;9,2;26,54
28;2020-10-02T00:59:43.564Z;82;997,4;9,1;26,55
29;2020-10-02T01:09:43.558Z;82;997,4;9,1;26,55
30;2020-10-02T01:19:43.549Z;82;997,3;9;26,56
31;2020-10-02T01:29:43.560Z;82,5;997,2;9,1;26,57
32;2020-10-02T01:39:43.529Z;82,5;997,1;9,2;26,57
33;2020-10-02T01:49:43.522Z;82,5;997;9,3;26,57
