"time";"Humidity - h (%RH) (h)";"Pressure - p (hPa) (p)";"Temperature - t (°C) (t)";"rssi (rssi)"
2021-02-01T00:01:10Z;87.5;993;-0.6;-105
2021-02-01T00:11:10Z;87.5;992.9;-0.6;-105
2021-02-01T00:21:10Z;87.5;992.8;-0.6;-106
2021-02-01T00:31:10Z;87.5;992.7;-0.5;-105
2021-02-01T00:41:10Z;87.5;992.6;-0.5;-104
2021-02-01T00:51:10Z;87.5;992.5;-0.4;-104
2021-02-01T01:01:10Z;87.5;992.3;-0.4;-107
2021-02-01T01:11:10Z;87.5;992.3;-0.4;-106
2021-02-01T01:21:10Z;87.5;992.2;-0.3;-103
2021-02-01T01:31:10Z;87.5;992.1;-0.3;-105
2021-02-01T01:41:10Z;87.5;992;-0.3;-104
2021-02-01T01:51:10Z;87.5;991.9;-0.3;-104
2021-02-01T02:01:10Z;87.5;991.8;-0.2;-106
2021-02-01T02:11:10Z;87.5;991.7;-0.2;-105
2021-02-01T02:21:10Z;87.5;991.6;-0.2;-105
2021-02-01T02:31:10Z;87.5;991.4;-0.2;-106
2021-02-01T02:41:10Z;88;991.3;-0.1;-106
2021-02-01T02:51:10Z;88;991.3;-0.1;-105
2021-02-01T03:01:10Z;88;991.2;-0.1;-106
2021-02-01T03:11:10Z;88;991.1;-0.1;-106
2021-02-01T03:21:10Z;88;991;-0.1;-106
2021-02-01T03:31:10Z;88;991;0;-108
2021-02-01T03:41:10Z;88;990.9;0;-104
2021-02-01T03:51:10Z;88;990.9;0;-104
2021-02-01T04:01:10Z;88;990.9;0;-105
2021-02-01T04:11:10Z;88;991;0;-105
2021-02-01T04:21:10Z;88;990.9;0;-105
2021-02-01T04:31:10Z;88;990.8;0;-105
2021-02-01T04:41:10Z;88;990.8;0;-104
2021-02-01T04:51:10Z;88;990.9;0;-105
2021-02-01T05:01:10Z;88;990.9;0;-105
2021-02-01T05:11:10Z;88;990.8;0;-105
2021-02-01T05:21:10Z;88.5;990.7;0;-104
2021-02-01T05:31:10Z;88.5;990.6;0;-105
2021-02-01T05:41:09Z;88.5;990.7;0;-105
2021-02-01T05:51:09Z;88.5;990.7;0;-105
2021-02-01T06:01:09Z;88.5;990.7;0;-106
2021-02-01T06:11:10Z;88.5;990.7;0;-104
2021-02-01T06:21:09Z;88.5;990.8;0;-104
2021-02-01T06:31:09Z;88.5;990.9;0;-105
2021-02-01T06:41:09Z;88.5;990.9;0;-104
2021-02-01T06:51:09Z;88.5;991;0.1;-105
2021-02-01T07:01:09Z;88.5;991.2;0.1;-105
2021-02-01T07:11:09Z;88.5;991.3;0.1;-104
2021-02-01T07:21:09Z;88.5;991.4;0.1;-105
2021-02-01T07:31:09Z;88.5;991.5;0.1;-104
2021-02-01T07:41:09Z;88.5;991.5;0.1;-106
2021-02-01T07:51:09Z;88.5;991.6;0.1;-104
2021-02-01T08:01:09Z;88.5;991.6;0.1;-106
2021-02-01T08:11:09Z;88.5;991.7;0.1;-104
2021-02-01T08:21:09Z;88.5;991.7;0.2;-104
2021-02-01T08:31:09Z;88.5;991.8;0.2;-105
2021-02-01T08:41:09Z;88.5;991.9;0.2;-105
2021-02-01T08:51:09Z;88.5;992;0.2;-104
2021-02-01T09:01:09Z;88.5;992;0.2;-104
2021-02-01T09:11:09Z;88.5;992.1;0.2;-105
2021-02-01T09:21:09Z;88.5;992.2;0.3;-104
2021-02-01T09:31:09Z;89;992.2;0.3;-104
2021-02-01T09:41:09Z;89;992.2;0.3;-106
2021-02-01T09:51:09Z;89;992.3;0.4;-106
2021-02-01T10:01:09Z;89;992.3;0.4;-106
2021-02-01T10:11:09Z;89;992.4;0.5;-106
2021-02-01T10:21:09Z;89;992.5;0.5;-107
2021-02-01T10:31:09Z;89;992.5;0.6;-105
2021-02-01T10:41:09Z;89;992.7;0.6;-106
2021-02-01T10:51:09Z;89;992.8;0.7;-106
2021-02-01T11:01:09Z;89;992.8;0.8;-106
2021-02-01T11:11:09Z;89;993;0.8;-106
2021-02-01T11:21:09Z;89;993.1;0.9;-106
2021-02-01T11:31:09Z;89;993.1;1;-105
2021-02-01T11:41:09Z;89;993.2;1;-104
2021-02-01T11:51:09Z;89;993.2;1.1;-104
2021-02-01T12:01:09Z;89;993.3;1.2;-104
2021-02-01T12:11:09Z;89;993.4;1.3;-104
2021-02-01T12:21:09Z;89;993.5;1.3;-104
2021-02-01T12:31:09Z;89;993.5;1.3;-104
2021-02-01T12:41:09Z;89;993.5;1.3;-105
2021-02-01T12:51:09Z;89;993.6;1.3;-106
2021-02-01T13:01:09Z;89;993.7;1.4;-105
2021-02-01T13:11:09Z;89;993.6;1.4;-104
2021-02-01T13:21:09Z;89;993.7;1.4;-106
2021-02-01T13:31:09Z;89;993.8;1.5;-106
2021-02-01T13:41:24Z;89.5;971.8;1.5;-105
2021-02-01T13:51:24Z;89;993.9;1.5;-105
2021-02-01T14:01:24Z;89;994.1;1.5;-105
2021-02-01T14:11:24Z;89;994.3;1.5;-105
2021-02-01T14:21:24Z;89.5;994.4;1.6;-106
2021-02-01T14:31:24Z;89.5;994.6;1.6;-106
2021-02-01T14:41:24Z;89.5;994.8;1.6;-106
2021-02-01T14:51:24Z;89.5;994.9;1.5;-105
2021-02-01T15:01:24Z;89.5;995.1;1.5;-105
2021-02-01T15:11:24Z;89.5;995.2;1.5;-105
2021-02-01T15:21:24Z;89.5;995.3;1.6;-105
2021-02-01T15:31:24Z;89.5;995.4;1.6;-106
2021-02-01T15:41:24Z;89.5;995.6;1.6;-105
2021-02-01T15:51:24Z;89.5;995.7;1.6;-107
2021-02-01T16:01:24Z;89.5;996;1.6;-106
2021-02-01T16:11:24Z;89.5;996.2;1.6;-106
2021-02-01T16:21:24Z;89.5;996.4;1.5;-105
2021-02-01T16:31:24Z;89.5;996.5;1.5;-106
2021-02-01T16:41:24Z;89.5;996.6;1.4;-105
2021-02-01T16:51:24Z;89.5;996.6;1.4;-105
2021-02-01T17:01:24Z;89.5;996.7;1.3;-105
2021-02-01T17:11:24Z;89.5;997;1.3;-106
2021-02-01T17:21:24Z;89.5;997.1;1.2;-105
2021-02-01T17:31:24Z;89.5;997.3;1.2;-105
2021-02-01T17:41:24Z;89.5;997.7;1.1;-104
2021-02-01T17:51:24Z;89.5;998;1.1;-106
2021-02-01T18:01:24Z;89.5;998.1;1.1;-105
2021-02-01T18:11:24Z;89.5;998.1;1;-105
2021-02-01T18:21:24Z;89.5;998;1;-106
2021-02-01T18:31:24Z;89.5;998;1;-106
2021-02-01T18:41:24Z;89.5;998.1;1;-106
2021-02-01T18:51:24Z;89.5;998.4;0.9;-106
